,lr,model_name,n_classes,type_of_inference,epochs,initial_checkpoint_weights,train_acc,train_mse,train_loss,val_acc,val_mse,val_loss
0,0.0001,DNN_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.07596153846153825,13.96769312620163,13.851885595321654,0.07596153846153841,13.999039280414582,13.953598701953888
1,0.001,CNN_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.076730769230769,17.996923086643218,2.5648987245559693,0.07788461538461533,18.030769252777098,2.5649490475654604
2,0.0001,ATT_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.18980769230769312,23.693270050883292,3.9394946771860124,0.09326923076923077,26.423077762126923,5.319242742657662
3,0.0001,MULTIPLE_CNN_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.11057692307692321,10.258461911678314,10.13406312942505,0.09903846153846155,17.030769848823546,16.863356864452363
4,0.0001,DNN_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.11115384615384634,31.27673195004463,2.540169957280159,0.08942307692307695,31.055770409107208,2.5704658418893813
5,0.001,MULTIPLE_CNN_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.09423076923076928,30.47403957247734,2.5567921203374864,0.07980769230769233,29.183654963970184,2.5669240325689318
6,0.001,MULTIPLE_CNN_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.07692307692307669,14.000000953674316,14.000001080036164,0.07692307692307687,14.000000953674316,14.000001144409179
7,0.0001,ATT_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.0957692307692308,17.190577578544616,17.13383591890335,0.09134615384615384,22.812500917911528,22.688761925697328
8,0.0001,CNN_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.0805769230769229,13.560577445030212,13.474753217697144,0.06826923076923076,14.637500548362732,14.60949660539627
9,0.0001,MULTIPLE_CNN_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.2350000000000005,20.934616153240203,2.3640433460474015,0.09326923076923078,24.126923894882204,2.615951532125473
10,0.001,DNN_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.14730769230769272,28.057116413116454,2.475868701338768,0.07788461538461537,30.575001096725465,2.6537978410720826
11,0.001,DNN_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.07749999999999979,13.948654417991639,13.919159305095672,0.07980769230769233,14.370192837715148,14.364546620845795
12,0.001,CNN_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.08884615384615374,12.510192767381668,12.46055357336998,0.08269230769230766,15.946154475212097,15.929638648033142
13,0.001,ATT_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.2288461538461544,22.788077754974367,3.792072332203388,0.06826923076923075,28.681731843948363,5.997068479657173
14,0.0001,CNN_HEAD,13,classification,10,resnet34_best_from_repo_cpu.pth.tar,0.18923076923076976,27.95750105857849,2.4237052541971207,0.0865384615384615,28.836539483070375,2.656835463643074
15,0.001,ATT_HEAD,13,linear_regression,10,resnet34_best_from_repo_cpu.pth.tar,0.08076923076923057,15.14653904914856,15.044400144815445,0.07307692307692308,18.53750059604645,18.429199433326723
